User_ID,Recipe_ID,User_Rating
U093,R050,5
U098,R038,2
U045,R054,4
U095,R023,4
U032,R102,4
U018,R007,4
U023,R084,3
U078,R073,5
U065,R054,4
U096,R080,4
U074,R008,3
U045,R071,5
U041,R024,4
U070,R082,2
U053,R002,4
U030,R022,4
U049,R052,4
U040,R034,2
U076,R019,3
U059,R074,5
U067,R076,4
U054,R101,5
U042,R073,4
U012,R059,5
U059,R046,4
U002,R023,2
U072,R103,5
U019,R078,5
U032,R078,2
U081,R062,2
U014,R041,4
U060,R001,4
U044,R029,4
U020,R041,5
U093,R044,3
U067,R033,3
U073,R063,4
U014,R044,4
U047,R078,3
U062,R100,1
U017,R020,4
U100,R072,3
U086,R047,4
U007,R031,4
U086,R031,5
U001,R024,4
U001,R061,2
U055,R039,5
U004,R027,4
U080,R054,5
U054,R054,4
U035,R029,3
U052,R058,3
U032,R072,5
U078,R102,4
U045,R007,5
U096,R027,2
U044,R019,5
U036,R037,4
U071,R078,4
U082,R083,4
U054,R058,4
U060,R042,5
U079,R080,5
U024,R048,4
U021,R011,4
U083,R103,5
U100,R081,5
U070,R041,1
U013,R083,2
U022,R035,4
U046,R091,4
U064,R088,4
U037,R037,1
U005,R066,5
U092,R047,4
U027,R040,3
U086,R066,1
U004,R022,5
U027,R029,3
U084,R020,5
U044,R075,5
U044,R027,3
U010,R003,4
U076,R099,3
U091,R038,3
U042,R007,4
U022,R073,4
U070,R052,4
U074,R063,5
U100,R012,2
U043,R016,5
U040,R069,5
U042,R043,4
U074,R095,1
U003,R034,4
U073,R002,4
U051,R093,4
U097,R091,1
U022,R068,3
U088,R077,4
U061,R003,5
U058,R094,4
U025,R013,1
U014,R076,3
U088,R066,4
U080,R012,4
U004,R049,1
U035,R021,4
U068,R063,4
U064,R055,5
U017,R036,5
U010,R036,4
U071,R012,5
U097,R076,5
U066,R082,5
U007,R033,5
U019,R082,5
U011,R050,5
U081,R002,2
U072,R101,4
U041,R002,3
U085,R065,5
U003,R095,4
U044,R061,5
U007,R054,1
U019,R010,3
U058,R059,5
U072,R040,4
U003,R064,4
U003,R029,5
U011,R025,5
U100,R042,3
U007,R008,5
U034,R032,5
U017,R064,5
U002,R064,5
U055,R064,2
U001,R020,3
U081,R053,5
U020,R062,3
U098,R031,5
U050,R018,1
U100,R046,1
U089,R048,5
U023,R068,5
U020,R082,4
U067,R044,3
U086,R005,5
U080,R049,4
U089,R022,4
U044,R061,2
U015,R053,4
U009,R070,1
U057,R021,4
U069,R041,5
U064,R013,2
U096,R009,5
U084,R015,2
U064,R051,4
U027,R085,4
U058,R057,5
U031,R085,5
U013,R084,4
U066,R003,3
U064,R040,4
U061,R044,1
U057,R017,3
U065,R066,4
U013,R032,5
U061,R091,4
U058,R073,4
U054,R001,3
U017,R006,5
U002,R072,3
U037,R076,5
U074,R027,2
U045,R055,5
U070,R084,4
U060,R031,4
U002,R099,5
U070,R047,2
U085,R049,4
U006,R090,4
U028,R040,4
U066,R014,5
U028,R016,2
U004,R093,4
U096,R093,5
U066,R098,3
U003,R020,5
U094,R025,4
U096,R028,4
U091,R024,4
U040,R058,3
U031,R052,5
U007,R047,2
U008,R101,5
U060,R041,3
U077,R063,5
U068,R088,4
U037,R044,5
U049,R101,1
U087,R081,5
U025,R030,3
U057,R016,3
U030,R070,5
U031,R031,5
U014,R093,5
U004,R084,5
U072,R024,2
U010,R065,4
U003,R077,5
U021,R083,3
U038,R062,4
U006,R096,5
U048,R010,4
U008,R015,2
U019,R013,4
U076,R088,4
U002,R075,3
U075,R076,2
U061,R019,2
U001,R067,4
U059,R001,4
U042,R080,5
U003,R022,4
U032,R006,5
U019,R062,3
U030,R062,4
U036,R101,5
U049,R027,4
U038,R101,2
U069,R082,2
U006,R047,4
U090,R007,3
U090,R057,5
U015,R097,4
U008,R042,5
U027,R001,5
U009,R088,4
U021,R002,3
U084,R093,4
U089,R092,4
U056,R036,4
U092,R039,3
U056,R080,4
U026,R078,3
U078,R057,4
U006,R016,4
U023,R087,5
U084,R094,3
U062,R078,4
U036,R027,5
U007,R063,5
U074,R036,4
U078,R022,3
U080,R014,3
U062,R067,5
U060,R005,4
U095,R038,5
U031,R085,2
U057,R045,2
U035,R031,4
U013,R099,5
U028,R062,4
U029,R029,4
U007,R034,2
U061,R023,4
U019,R015,3
U029,R038,4
U027,R070,2
U038,R051,2
U083,R054,5
U088,R024,1
U044,R045,5
U032,R058,5
U041,R072,4
U011,R042,5
U047,R045,5
U036,R020,4
U010,R062,4
U041,R041,3
U044,R018,4
U028,R018,5
U058,R044,4
U036,R072,5
U068,R042,5
U041,R038,2
U082,R070,4
U016,R049,4
U011,R059,1
U004,R017,5
U028,R009,4
U050,R068,2
U034,R086,1
U055,R007,4
U034,R086,4
U080,R029,5
U041,R023,3
U059,R072,4
U033,R088,4
U078,R047,5
U010,R048,1
U078,R044,2
U053,R033,2
U052,R065,4
U003,R082,4
U079,R033,5
U015,R038,2
U030,R006,2
U068,R028,4
U070,R017,3
U056,R047,4
U023,R027,4
U030,R102,5
U095,R085,5
U068,R094,5
U024,R103,3
U012,R001,4
U006,R045,4
U070,R037,5
U093,R003,5
U053,R046,4
U013,R041,4
U094,R100,4
U022,R002,5
U075,R099,4
U082,R039,3
U051,R027,3
U062,R061,4
U099,R096,5
U062,R079,2
U028,R049,5
U046,R067,4
U076,R007,3
U019,R030,2
U088,R037,5
U089,R047,5
U082,R019,1
U062,R088,4
U023,R090,5
U076,R031,3
U034,R082,3
U022,R048,5
U085,R070,5
U079,R031,4
U058,R084,5
U033,R036,3
U043,R089,4
U027,R006,4
U087,R085,2
U073,R063,3
U044,R013,3
U016,R097,2
U003,R038,1
U065,R102,3
U014,R070,4
U016,R025,3
U078,R039,5
U063,R056,4
U060,R085,4
U044,R042,3
U030,R038,3
U060,R020,5
U002,R044,3
U088,R021,5
U038,R075,5
U016,R007,5
U075,R053,4
U040,R023,4
U027,R004,5
U004,R001,4
U094,R022,4
U012,R015,2
U097,R098,4
U060,R027,4
U092,R056,4
U010,R076,4
U046,R020,5
U085,R007,3
U028,R050,3
U100,R018,2
U026,R093,5
U012,R087,5
U013,R069,5
U048,R042,5
U076,R079,2
U012,R033,4
U036,R022,3
U022,R089,4
U019,R079,5
U016,R037,5
U082,R096,3
U031,R057,4
U077,R085,5
U003,R088,4
U027,R082,4
U076,R025,5
U098,R044,5
U081,R009,5
U075,R013,5
U011,R055,1
U057,R013,5
U010,R097,2
U010,R010,2
U084,R032,5
U022,R076,5
U034,R059,5
U084,R092,5
U002,R061,2
U085,R100,4
U083,R053,4
U064,R024,5
U006,R064,3
U023,R011,5
U047,R049,4
U009,R065,1
U025,R046,4
U015,R082,5
U031,R074,5
U044,R033,3
U075,R075,4
U009,R010,2
U035,R047,5
U098,R064,4
U056,R103,5
U032,R003,3
U050,R093,5
U097,R084,5
U087,R075,4
U018,R078,2
U001,R091,5
U088,R075,5
U026,R058,5
U059,R021,5
U083,R058,3
U096,R054,4
U068,R081,3
U070,R065,4
U030,R061,5
U062,R054,2
U094,R030,2
U092,R071,5
U084,R059,5
U037,R082,5
U039,R083,4
U069,R063,3
U086,R058,4
U061,R034,5
U046,R098,2
U047,R075,5
U068,R083,2
U026,R065,5
U015,R047,4
U053,R089,5
U085,R090,1
U038,R003,4
U097,R003,5
U036,R089,4
U016,R079,1
U092,R061,2
U051,R066,5
U006,R027,5
U012,R083,5
U027,R049,3
U084,R051,3
U027,R082,5
U043,R059,3
U035,R041,5
U015,R018,5
U064,R059,3
U092,R048,3
U016,R045,2
U085,R030,4
U026,R048,4
U073,R057,2
U004,R089,4
U071,R005,1
U050,R027,5
U011,R022,4
U078,R013,5
U089,R065,5
U029,R008,5
U018,R022,3
U090,R055,2
U096,R091,4
U081,R065,4
U057,R069,4
U053,R074,5
U079,R001,5
U003,R078,4
U051,R091,2
U053,R012,4
U087,R053,2
U024,R082,5
U020,R032,5
U020,R100,4
U006,R049,4
U060,R053,2
U087,R002,4
U075,R056,3
U010,R045,4
U068,R014,2
U091,R083,3
U006,R059,4
U099,R074,5
U082,R032,3
U014,R007,4
U007,R012,5
U055,R084,3
U061,R095,4
U074,R003,2
U097,R006,4
U060,R022,5
U007,R039,3
U030,R101,4
U048,R010,5
U029,R061,4
U001,R103,3
U065,R053,5
U009,R054,3
U021,R085,4
U010,R076,2
U024,R016,5
U062,R063,5
U088,R006,5
U036,R022,2
U076,R007,4
U014,R001,3
U026,R003,4
U026,R025,3
U044,R072,4
U046,R001,3
U098,R086,5
U091,R064,5
U070,R004,4
U015,R025,4
U050,R025,4
U031,R051,1
U056,R022,4
U096,R098,5
U039,R054,3
U041,R028,5
U023,R020,5
U066,R030,1
U040,R073,5
U009,R003,4
U093,R040,5
U012,R013,3
U055,R001,3
U057,R014,5
U086,R086,4
U021,R012,5
U046,R044,5
U088,R011,4
U086,R043,5
U086,R004,1
U051,R024,4
U099,R100,5
U085,R062,4
U079,R079,3
U057,R001,3
U012,R067,4
U075,R012,5
U039,R071,5
U076,R041,5
U001,R002,5
U059,R090,5
U035,R101,4
U023,R055,2
U033,R069,5
U020,R001,4
U025,R049,4
U084,R087,5
U018,R081,2
U010,R080,5
U003,R014,4
U081,R024,4
U009,R101,5
U082,R031,2
U014,R090,2
U004,R015,5
U078,R005,4
U039,R088,3
U020,R086,5
U090,R092,4
U049,R013,4
U086,R061,2
U025,R096,4
U061,R050,5
U065,R073,4
U062,R066,3
U035,R086,2
U066,R080,2
U087,R052,5
U070,R101,4
U010,R073,4
U080,R007,3
U087,R009,5
U096,R097,4
U090,R016,4
U003,R097,5
U059,R052,5
U082,R006,3
U015,R001,5
U026,R021,5
U014,R040,4
U049,R046,5
U088,R059,5
U057,R006,4
U069,R086,4
U079,R078,5
U094,R041,5
U003,R061,5
U085,R022,5
U078,R019,4
U005,R011,4
U043,R027,4
U018,R021,5
U026,R064,5
U089,R082,4
U057,R056,4
U007,R001,2
U094,R084,5
U031,R090,5
U011,R056,5
U066,R060,5
U085,R062,1
U074,R051,3
U069,R012,4
U056,R009,5
U009,R056,4
U014,R048,5
U100,R073,4
U001,R080,4
U064,R062,1
U048,R024,4
U013,R061,5
U030,R003,3
U071,R049,1
U004,R035,4
U082,R078,5
U057,R022,4
U063,R100,3
U073,R050,5
U089,R030,5
U075,R034,5
U018,R046,3
U023,R091,5
U068,R032,4
U087,R015,5
U016,R038,5
U024,R078,5
U003,R078,5
U014,R012,4
U090,R031,5
U008,R046,3
U023,R073,3
U055,R040,4
U005,R090,2
U095,R076,2
U061,R077,5
U073,R093,3
U046,R030,3
U042,R021,4
U013,R022,4
U015,R029,5
U029,R097,3
U063,R060,4
U065,R051,3
U077,R005,3
U072,R016,1
U033,R019,5
U035,R059,3
U058,R050,4
U057,R049,5
U079,R022,4
U079,R088,1
U067,R089,5
U059,R072,5
U035,R076,1
U006,R025,5
U058,R074,4
U082,R049,4
U049,R017,5
U038,R035,5
U002,R049,4
U056,R100,4
U006,R035,5
U055,R078,5
U066,R054,5
U003,R041,4
U044,R007,5
U059,R056,1
U094,R013,1
U063,R088,5
U020,R080,4
U075,R050,5
U034,R011,4
U058,R019,4
U002,R090,2
U086,R008,4
U004,R037,3
U038,R071,4
U021,R089,4
U024,R052,5
U011,R065,4
U012,R091,4
U059,R057,5
U026,R069,5
U066,R038,3
U066,R069,3
U045,R098,5
U060,R069,5
U074,R058,4
U100,R084,4
U050,R062,4
U064,R023,5
U029,R098,5
U057,R062,4
U097,R054,5
U074,R007,5
U096,R099,5
U098,R033,4
U060,R084,5
U097,R017,1
U097,R064,5
U031,R006,4
U083,R081,2
U055,R103,5
U081,R090,5
U092,R013,1
U019,R065,4
U034,R068,5
U077,R018,2
U036,R039,2
U046,R047,2
U036,R009,4
U017,R056,3
U039,R075,1
U019,R047,4
U088,R069,5
U077,R073,5
