Food_ID,Food_Name,Calories,Protein_g,Fat_g,Carbs_g,Fiber_g,Vitamin_C_mg,Iron_mg,Calcium_mg
F040,Bell Pepper,659,22.1,17.1,75.9,1.7,98.3,2.1,299.0
F041,Strawberry,555,49.8,26.7,4.8,4.6,25.3,7.2,218.5
F042,Pork,380,39.1,34.9,71.7,14.8,116.9,4.4,472.0
F043,Papaya,155,35.5,27.0,46.9,8.4,49.4,0.9,12.9
F044,Ricotta,490,24.2,37.4,60.2,0.4,62.4,0.3,354.3
F045,Buckwheat,434,44.1,34.3,71.2,4.4,103.8,1.6,415.1
F046,Chia Seeds,745,46.7,16.3,9.6,3.3,8.2,4.1,436.6
F047,Coriander,303,12.0,14.9,33.8,1.7,77.8,0.4,140.6
F048,Walnuts,703,35.7,26.5,77.5,10.2,24.3,6.5,325.5
F049,Cocoa Powder,772,30.9,32.2,14.2,2.3,84.6,7.2,280.5
F050,Cumin,548,5.8,3.9,23.0,0.5,49.0,4.7,152.1
F051,Sesame Seeds,752,13.8,36.7,52.3,2.8,64.2,3.1,390.5
F052,Pear,291,40.3,36.1,26.7,10.0,0.2,1.0,120.1
F053,Paprika,294,38.8,1.4,62.9,3.0,84.1,2.9,296.1
F054,Strawberry,762,47.8,32.8,62.2,5.2,74.2,4.1,173.3
F055,Cheese,528,24.5,21.0,68.4,5.9,57.3,1.6,133.9
F056,Dark Chocolate,351,35.2,36.9,19.3,12.2,66.6,6.0,425.2
F057,Pinto Beans,772,42.2,31.8,17.8,1.0,100.0,1.4,122.7
F058,Potato,708,36.3,39.4,60.2,13.0,32.5,5.6,372.4
F059,Cheese,506,23.6,38.6,70.8,14.6,100.4,0.7,208.9
F060,Mushroom,381,45.9,23.2,36.9,1.7,118.5,4.5,406.1
F061,Oregano,445,30.4,35.3,1.3,10.8,90.9,2.6,353.1
F062,Sesame Seeds,782,46.6,3.7,16.3,2.4,7.7,1.3,439.2
F063,Basil,94,6.9,19.0,39.1,9.7,8.3,5.8,464.7
F064,Green Beans,93,44.5,3.1,34.4,8.3,57.0,3.0,7.0
F065,Oat Milk,692,9.4,36.1,54.5,9.8,56.7,4.8,341.8
F066,Beef,798,1.8,5.1,64.1,12.7,49.4,1.9,376.8
F067,Lamb,441,41.9,27.7,24.1,12.1,34.6,3.6,331.0
F068,Orange,338,20.0,27.5,44.8,8.6,31.3,0.5,85.4
F069,Navy Beans,147,14.9,7.7,11.2,0.2,17.4,4.5,415.2
F070,Paneer,381,7.6,9.2,65.8,14.4,43.7,7.0,21.8
F071,Parsley,660,33.8,4.7,23.7,10.2,5.3,5.5,425.7
F072,Sweet Potato,281,6.3,39.2,2.1,13.4,118.7,4.2,182.5
F073,Sunflower Seeds,753,40.2,31.9,49.7,3.0,115.7,5.1,158.0
F074,Cauliflower,385,44.5,35.7,5.8,14.0,84.0,0.3,152.8
F075,Chicken Thigh,146,12.4,25.0,69.0,1.5,40.8,3.8,467.9
F076,Mozzarella,247,5.7,2.4,16.9,2.5,73.1,4.2,56.2
F077,Blueberry,773,26.9,31.8,11.5,13.8,48.1,1.4,192.1
F078,Watermelon,641,16.5,38.2,8.9,12.5,106.4,0.1,70.3
F079,Crab,787,17.1,2.3,31.8,0.9,49.8,4.8,290.7
F080,Pecans,555,43.9,26.4,79.3,5.2,76.5,5.3,164.6
F081,Pineapple,633,5.8,3.5,63.6,5.1,1.1,0.9,439.2
F082,Wheat,199,44.8,24.2,7.9,10.2,71.6,2.6,319.1
F083,Walnuts,676,24.9,36.9,63.9,14.9,77.7,7.6,459.9
F084,Crab,77,19.6,36.2,35.5,14.5,9.6,4.4,40.7
F085,Buckwheat,27,31.0,21.4,6.9,9.3,92.3,4.7,182.8
F086,Butter,106,27.4,36.8,60.0,7.9,93.0,1.6,113.5
F087,Tomato,708,8.8,28.2,13.1,7.4,14.4,4.5,189.8
F088,Thyme,564,22.8,35.9,72.1,14.6,92.8,0.5,287.4
F089,Carrot,486,16.9,6.5,55.3,13.9,67.3,5.2,470.5
F090,Lamb,434,42.0,31.2,47.4,13.6,27.8,1.6,433.4
F091,Garlic,263,10.8,8.0,48.3,11.8,25.5,0.4,477.9
F092,Pumpkin Seeds,400,17.7,13.1,56.0,4.4,93.1,5.7,119.4
F093,Coconut Oil,767,30.6,3.8,66.0,13.7,113.8,2.8,165.1
F094,Wheat,627,22.6,17.6,50.0,8.7,107.1,3.9,264.0
F095,Blueberry,292,5.2,21.5,29.8,14.1,103.0,6.3,147.6
F096,Turmeric,328,43.3,18.1,4.5,2.8,54.2,1.9,209.9
F097,Mango,715,43.5,10.4,59.6,8.0,90.6,4.1,479.0
F098,Cucumber,620,47.4,20.0,32.5,4.7,10.7,2.3,205.4
F099,Tuna,364,21.9,13.2,11.2,0.4,117.2,6.6,455.8
F100,Thyme,29,38.4,24.0,36.2,12.7,89.3,7.7,296.4
F101,Black-eyed Peas,728,13.2,23.6,0.8,3.1,44.2,3.4,361.9
F102,Cashews,433,5.4,3.7,45.1,1.4,60.9,1.7,5.1
F103,Millet,507,0.3,12.6,26.3,11.7,13.5,5.3,86.0
F104,Corn,228,33.5,9.1,12.0,10.1,2.6,6.5,442.5
F105,Butter,659,15.1,37.5,10.5,8.9,8.1,6.1,102.4
F106,Lentils,113,0.5,34.5,1.7,14.3,114.7,7.5,435.6
F107,Cornmeal,27,27.1,39.0,55.6,9.7,42.1,6.9,311.1
F108,Pinto Beans,779,42.2,34.4,21.4,6.5,72.1,0.2,128.4
F109,Greek Yogurt,241,7.6,18.5,5.3,8.7,51.5,7.9,16.2
F110,Tomato,229,19.6,39.5,74.9,13.0,73.5,0.7,187.6
F111,Grape,730,12.5,14.3,21.5,0.2,44.8,5.0,60.0
F112,Bell Pepper,43,22.6,22.1,10.6,2.2,79.0,0.8,21.3
F113,Walnuts,99,8.3,10.2,46.3,13.4,112.5,1.4,242.6
F114,Sunflower Seeds,465,34.7,38.6,50.4,6.4,93.9,3.3,394.6
F115,Ghee,535,34.0,6.6,35.9,12.0,28.2,5.3,255.0
F116,Radish,225,40.9,31.8,46.6,7.2,48.8,2.8,450.2
F117,Parmesan,499,22.1,13.8,43.4,8.6,51.4,4.2,46.9
F118,Cottage Cheese,314,38.7,25.2,55.3,13.1,50.9,0.8,239.6
F119,Carrot,47,25.0,22.3,79.7,13.0,109.1,7.4,356.8
F120,Spinach,547,45.3,36.3,58.4,1.6,46.7,6.6,117.2
F121,Tofu,186,16.0,38.0,23.2,8.5,103.3,1.2,27.3
F122,Chicken Breast,726,7.3,23.1,75.1,5.7,99.6,1.9,112.3
F123,Pecans,743,47.1,31.3,31.4,14.4,110.4,2.7,380.7
F124,Chicken Breast,575,40.1,35.7,71.5,5.2,115.3,6.2,33.8
F125,Butter,254,1.3,33.1,38.9,6.6,99.2,7.6,31.8
F126,Eggplant,773,43.5,18.1,31.9,14.4,10.6,6.7,243.0
F127,Mushroom,231,17.1,21.4,14.0,10.4,30.0,4.7,213.0
F128,Dark Chocolate,523,26.4,31.1,18.9,13.7,115.2,4.4,231.5
F129,Cinnamon,700,16.7,22.9,7.0,9.8,76.2,4.4,439.5
F130,Corn,497,48.6,27.6,73.1,7.6,91.2,1.5,97.4
F131,Ricotta,515,30.9,39.5,76.0,14.5,40.2,3.7,82.3
F132,Kiwi,186,3.1,38.3,34.4,3.7,101.4,2.6,260.1
F133,Greek Yogurt,293,16.8,25.9,37.0,8.9,84.3,5.7,253.2
F134,Chickpeas,458,11.9,27.2,35.6,8.3,23.8,1.9,294.0
F135,Black-eyed Peas,258,38.7,14.9,42.3,8.0,0.7,2.3,240.3
F136,Cardamom,216,20.0,31.0,30.3,3.7,36.5,5.8,126.8
F137,Cinnamon,334,3.1,35.7,38.4,11.5,108.7,2.9,344.7
F138,Black Beans,573,33.8,1.8,6.3,2.9,8.7,5.6,364.0
F139,Soy Milk,83,49.3,28.7,13.1,5.0,23.2,4.1,412.1
F140,Potato,510,0.1,10.3,36.6,3.8,76.9,1.3,415.4
F141,Egg White,633,7.5,17.7,6.3,10.1,89.1,0.4,124.3
F142,Corn,184,25.1,30.9,15.2,10.0,23.5,2.7,279.5
F143,Red Lentils,755,29.5,4.3,19.5,2.1,118.1,8.0,139.4
F144,Black Beans,597,1.4,16.0,3.1,6.4,52.4,2.5,105.0
F145,Kiwi,293,4.3,6.2,18.4,2.3,80.8,6.4,48.6
F146,Hazelnuts,544,25.5,35.4,61.1,3.7,52.1,3.7,432.8
F147,Bread,636,0.7,33.0,6.8,7.6,85.4,6.7,480.6
F148,Tempeh,694,31.2,36.6,6.9,7.3,60.5,4.5,377.9
F149,Greek Yogurt,214,49.1,13.7,26.3,6.9,98.3,0.7,124.6
F150,Lentils,514,18.9,4.3,40.6,2.2,61.3,3.7,134.5
F151,Flax Seeds,441,1.4,35.1,74.5,14.5,56.8,1.8,271.5
F152,Grape,89,7.0,20.9,60.6,2.9,109.0,0.3,151.5
F153,Chili Powder,243,48.1,2.9,23.8,6.3,33.4,4.7,294.5
F154,Butter,388,16.4,4.8,79.8,2.7,61.2,1.7,265.3
F155,Butter,394,8.2,28.0,10.7,12.0,85.7,2.5,380.1
F156,Mozzarella,451,14.9,23.6,9.4,10.8,76.7,4.8,422.0
F157,Chia Seeds,445,37.2,9.6,24.8,8.8,9.7,5.3,67.7
F158,Spinach,581,41.6,36.0,23.0,6.5,118.5,5.2,60.8
F159,Salmon,55,9.2,28.1,28.0,5.1,70.4,3.5,159.6
F160,Pasta,78,20.8,15.3,66.1,14.9,61.7,3.7,72.1
F161,Mango,769,30.8,32.9,46.7,5.5,89.2,4.8,380.9
F162,Almonds,628,19.7,25.2,19.9,5.7,103.1,2.1,399.6
F163,Walnuts,87,8.0,22.5,73.7,13.4,96.7,6.5,269.8
F164,Flax Seeds,535,11.3,6.4,50.2,12.9,25.3,3.7,477.1
F165,Peach,396,40.0,39.2,50.1,3.6,29.5,3.0,258.7
F166,Salmon,571,10.5,5.2,33.4,7.8,61.5,4.1,394.1
F167,Bell Pepper,51,34.5,18.1,61.9,1.2,43.9,4.2,145.8
F168,Peach,628,3.8,30.0,22.7,6.0,119.1,7.8,349.8
F169,Corn,64,37.4,21.6,56.1,13.1,45.6,3.7,126.5
F170,Kiwi,510,30.1,37.3,4.4,14.3,30.8,8.0,8.1
F171,Bell Pepper,392,33.4,27.8,42.7,9.2,99.3,2.6,292.3
F172,Pecans,615,28.9,32.7,15.8,0.9,56.1,4.1,465.7
F173,Wheat,93,32.6,20.5,36.9,8.6,101.0,6.1,7.1
F174,Eggplant,598,12.8,25.4,79.1,2.7,38.1,6.0,448.4
F175,Tuna,541,13.9,34.4,79.8,7.1,116.7,7.7,239.8
F176,Macadamia,644,12.0,13.0,14.9,3.2,26.1,5.2,309.8
F177,Oat Milk,310,44.1,29.2,41.9,14.9,84.3,4.7,52.3
F178,Black-eyed Peas,491,14.5,23.0,68.6,13.9,33.3,6.1,77.4
F179,Red Lentils,280,29.3,32.6,16.1,2.9,78.0,8.0,78.8
F180,Coconut,245,35.6,22.1,10.4,14.4,113.8,3.9,435.2
F181,Apricot,509,35.7,14.1,26.1,12.3,64.7,7.1,148.5
F182,Pasta,253,9.5,5.6,22.1,4.7,109.6,5.3,423.0
F183,Olives,415,4.6,14.0,46.8,8.2,119.6,1.0,317.2
F184,Bread,341,15.4,16.1,28.6,2.1,25.8,5.9,17.8
F185,Cumin,667,28.1,37.3,30.9,2.5,37.5,3.9,249.9
F186,Plum,496,48.5,26.2,42.9,6.3,22.7,3.5,61.3
F187,Cashews,322,15.1,25.6,67.6,1.7,90.0,3.1,130.1
F188,Cucumber,554,29.4,23.0,79.0,10.9,96.6,2.5,408.6
F189,Cumin,598,12.5,0.5,56.3,6.7,15.0,0.8,324.0
F190,Bread,486,10.7,8.9,52.6,3.9,32.2,2.9,135.6
F191,Paneer,365,22.5,23.6,42.5,5.1,113.3,1.9,441.0
F192,Kiwi,472,12.7,26.5,10.9,14.8,28.1,2.5,317.4
F193,Green Beans,20,36.6,39.1,18.9,13.8,105.8,1.8,62.4
F194,Garlic,214,40.5,14.1,10.6,1.7,40.1,1.7,233.2
F195,Mango,669,22.5,12.4,50.4,7.1,68.4,2.5,170.2
F196,Sesame Seeds,524,47.2,35.7,59.1,6.7,103.6,6.1,138.7
F197,Butter,109,37.3,22.9,46.2,5.7,5.8,5.3,34.8
F198,Olives,216,41.2,32.7,51.0,11.3,104.9,7.6,71.2
F199,Black Beans,185,23.0,11.1,20.8,7.8,26.6,3.9,393.0
F200,Millet,128,30.8,9.2,74.5,0.5,78.8,4.4,18.7
F201,Carrot,692,47.8,25.2,65.1,7.9,115.8,1.2,80.9
F202,Chicken Thigh,670,16.5,10.0,25.9,14.2,64.4,5.8,210.7
F203,Watermelon,677,49.7,39.0,65.1,0.5,111.7,4.6,487.5
F204,Pasta,756,43.5,10.5,48.3,7.7,34.9,0.4,17.7
F205,Lobster,283,48.2,18.7,55.1,6.1,61.7,6.2,386.2
F206,Cucumber,333,20.6,21.4,64.7,12.4,15.2,3.1,202.4
F207,Barley,136,26.4,35.1,21.5,14.5,115.9,6.3,15.9
F208,Peas,285,10.1,18.2,74.8,13.2,40.5,2.2,146.8
F209,Hazelnuts,683,36.1,8.8,47.3,8.5,61.1,6.9,382.0
F210,Pecans,182,18.9,25.1,30.3,2.4,32.2,1.0,498.5
F211,Asparagus,86,46.6,28.6,9.7,6.2,84.8,3.7,499.0
F212,Grape,679,43.3,17.2,1.8,14.0,35.9,2.0,82.5
F213,Fish,506,33.4,25.0,54.3,4.6,30.9,3.2,337.8
F214,Barley,599,47.8,2.5,58.8,11.1,9.0,4.2,53.4
F215,Banana,738,29.4,32.9,66.6,12.3,46.3,1.2,181.7
F216,Eggplant,514,19.8,22.9,72.5,5.6,109.0,5.9,145.6
F217,Kidney Beans,605,0.6,15.1,8.1,14.1,95.7,6.9,328.8
F218,Oregano,774,40.7,36.0,37.7,5.5,105.1,0.2,163.1
F219,Broccoli,348,22.8,3.0,70.5,9.8,79.7,7.2,221.8
F220,Mushroom,28,16.0,24.3,42.4,11.3,95.8,3.4,11.1
F221,Pasta,407,26.5,30.2,19.4,10.6,111.6,7.3,243.2
F222,Grape,127,29.5,11.6,65.2,10.8,49.7,6.0,413.5
F223,Asparagus,743,2.5,24.6,71.2,3.3,48.6,5.1,317.3
F224,Spinach,237,36.4,38.0,25.8,14.0,61.5,7.9,164.8
F225,Chicken Thigh,133,25.1,17.3,26.5,9.1,48.6,1.0,77.0
F226,Oregano,21,10.2,21.5,43.9,13.3,2.7,1.2,497.0
F227,Watermelon,704,41.5,17.8,19.3,1.3,21.7,4.6,301.8
F228,Pinto Beans,692,22.4,25.4,61.7,9.2,118.1,1.5,205.0
F229,Radish,326,24.4,26.6,46.6,4.7,28.9,2.8,140.5
F230,Thyme,33,19.3,8.3,37.8,14.2,64.7,0.3,203.7
F231,Dark Chocolate,68,34.4,23.7,33.5,11.8,93.2,2.7,216.5
F232,Lamb,779,15.8,16.6,32.8,2.4,61.2,0.9,63.5
F233,Chia Seeds,461,11.2,22.2,32.4,11.8,41.1,6.3,142.1
F234,Soybeans,240,28.7,28.8,60.2,10.9,119.5,6.5,74.5
F235,Cilantro,580,5.6,27.8,11.8,10.7,54.3,1.1,369.5
F236,Walnuts,585,12.9,9.9,75.5,2.6,31.2,6.5,487.7
F237,Cloves,663,6.6,1.1,17.2,8.9,87.0,2.4,260.6
F238,Oregano,96,36.0,26.5,22.0,8.6,41.4,7.9,98.5
F239,Cucumber,187,11.3,39.9,20.6,2.9,92.9,7.0,31.9
F240,Apple,152,42.7,1.1,41.8,13.0,48.0,0.7,313.2
F241,Bulgur,121,9.5,34.5,68.8,11.5,39.8,5.9,441.2
F242,Cherry,533,44.1,19.0,43.2,13.3,43.0,1.6,481.3
F243,Navy Beans,433,41.0,26.2,1.5,0.4,56.5,5.5,464.5
F244,Milk,700,25.3,8.0,76.0,5.4,14.7,1.8,186.6
F245,Cottage Cheese,467,23.0,24.0,46.9,11.8,21.3,4.5,56.0
F246,Paprika,492,27.3,20.6,48.9,12.9,101.4,7.2,494.5
F247,Parsley,768,17.2,15.7,49.3,3.6,119.6,0.5,30.4
F248,Almonds,598,33.4,24.2,53.5,8.6,61.0,5.0,36.8
F249,Apricot,590,20.9,2.4,44.5,3.7,27.7,5.8,219.2
F250,Dark Chocolate,516,31.7,1.1,44.0,11.6,8.1,6.8,413.4
F251,Tofu,508,42.8,31.9,52.9,4.1,8.9,1.5,254.1
F252,Egg,175,37.4,11.4,36.2,5.7,113.4,3.7,395.1
F253,Asparagus,311,1.5,3.6,11.4,7.4,112.9,0.6,121.4
F254,Chicken Breast,607,21.4,24.8,78.5,8.8,113.3,6.5,445.9
F255,Cloves,368,21.2,27.2,48.7,6.8,106.8,6.3,169.4
F256,Cumin,64,9.8,33.8,10.4,6.6,69.8,5.2,470.5
F257,Oats,450,35.4,24.4,78.4,4.6,55.3,1.2,300.0
F258,Papaya,581,5.6,35.6,13.3,0.5,116.4,0.8,322.5
F259,Cherry,191,26.9,24.0,70.7,8.1,21.3,6.1,428.7
F260,Pumpkin Seeds,285,3.9,15.2,30.3,14.9,78.9,2.3,448.9
F261,Salmon,81,16.0,17.8,58.9,12.5,32.9,2.6,425.6
F262,Coconut Oil,678,35.2,1.3,0.2,8.9,61.1,2.5,171.3
F263,Spinach,646,30.9,3.8,61.9,5.0,84.0,0.6,79.3
F264,Chia Seeds,78,2.8,38.8,72.5,2.9,42.8,7.0,96.0
F265,Fish,469,27.8,23.4,61.1,12.4,93.0,7.7,303.4
F266,Blueberry,180,40.9,31.2,43.0,5.1,117.1,2.2,378.4
F267,Shrimp,652,38.6,3.0,44.4,1.5,79.7,6.4,55.3
F268,Hazelnuts,168,37.2,9.4,64.7,11.1,35.0,4.3,405.1
F269,Bay Leaves,110,17.4,9.6,73.4,12.2,85.9,0.1,159.8
F270,Banana,637,21.5,12.3,49.9,2.1,101.1,3.1,482.5
F271,Coconut Milk,50,46.6,15.9,8.0,4.9,75.6,7.2,153.4
F272,Lentils,698,0.3,13.0,79.3,10.1,114.9,6.3,356.4
F273,Lentils,170,50.0,31.9,57.7,9.4,86.3,2.8,306.2
F274,Pear,715,29.9,24.6,63.9,11.8,40.4,5.7,112.1
F275,Yogurt,787,14.2,29.8,63.1,2.3,85.6,2.0,129.0
F276,Peanuts,263,6.7,35.2,34.3,2.2,114.0,0.6,94.6
F277,Couscous,712,36.4,24.4,50.3,1.3,65.8,2.3,76.7
F278,Orange,256,10.7,18.4,8.1,7.7,91.2,4.0,325.0
F279,Kidney Beans,456,16.1,4.8,59.8,14.8,42.1,0.9,464.5
F280,Cocoa Powder,226,34.2,1.1,68.6,8.9,65.0,3.4,57.5
F281,Almonds,76,5.9,26.9,54.9,8.5,32.8,6.1,311.8
F282,Apricot,186,8.8,17.7,39.0,1.3,105.9,6.4,353.9
F283,Tempeh,419,17.6,26.4,75.8,10.4,117.3,6.2,66.6
F284,Potato,326,18.9,15.8,49.5,5.6,60.6,1.4,137.0
F285,Mango,540,48.4,30.2,18.1,9.9,65.7,5.5,219.1
F286,Ginger,794,9.5,28.0,18.6,3.6,18.1,1.9,67.9
F287,Orange,490,21.7,39.7,64.4,14.1,54.1,7.0,366.7
F288,Black-eyed Peas,222,45.8,12.5,23.9,12.1,5.7,6.6,173.1
F289,Green Lentils,680,18.8,6.6,54.5,13.4,42.8,7.6,392.1
F290,Greek Yogurt,728,3.9,5.7,64.0,12.2,43.9,2.1,194.3
F291,Red Lentils,142,27.1,25.7,42.8,4.7,15.9,3.5,271.7
F292,Bread,148,32.7,17.3,50.1,4.0,6.8,6.3,442.5
F293,Greek Yogurt,448,29.1,2.2,26.4,8.6,33.8,3.4,153.7
F294,Rice,403,21.9,31.7,68.6,2.1,86.1,1.0,54.3
F295,Quinoa,75,49.9,30.5,24.9,4.0,3.4,6.8,494.1
F296,Parmesan,89,35.2,35.9,67.9,1.6,7.8,1.2,471.1
F297,Cinnamon,750,21.8,2.3,54.9,0.6,113.6,4.9,360.0
F298,Greek Yogurt,346,46.3,16.8,68.5,6.6,102.8,1.3,345.6
F299,Radish,154,17.0,30.9,73.7,8.5,1.8,4.3,297.6
F300,Avocado Oil,71,49.0,21.2,63.1,2.9,71.5,3.3,131.5
F301,Paprika,787,29.1,34.0,75.2,5.7,38.7,6.8,41.4
F302,Cauliflower,789,17.5,34.7,15.6,4.7,62.5,5.3,46.8
F303,Peanuts,410,47.8,29.5,8.2,5.1,11.6,2.9,347.9
F304,Ricotta,432,43.7,19.3,49.9,7.8,13.7,1.5,255.4
F305,Orange,778,10.7,18.0,8.9,10.5,30.4,2.6,149.6
F306,Almonds,126,45.4,11.1,0.4,13.5,72.9,5.2,330.3
F307,Fish,246,46.0,14.6,35.7,9.2,109.4,6.0,493.0
F308,Coconut Milk,256,27.9,7.5,73.7,6.5,47.6,5.1,446.5
F309,Black-eyed Peas,478,11.9,14.8,18.9,0.3,72.1,0.3,431.8
F310,Lentils,556,37.4,8.5,42.4,1.6,43.3,2.7,496.4
F311,Bay Leaves,778,3.1,21.1,29.9,12.0,0.9,6.1,312.2
F312,Oregano,468,13.8,17.9,52.0,7.7,2.8,2.0,201.0
F313,Sweet Potato,173,20.3,34.1,64.5,3.4,63.5,1.7,426.7
F314,Bay Leaves,662,32.0,0.2,62.9,8.6,112.7,6.6,434.3
F315,Salmon,470,6.9,3.6,50.5,14.8,34.7,5.8,58.3
F316,Sage,113,5.0,16.7,17.5,14.0,49.6,2.3,213.0
F317,Pecans,71,44.9,37.1,45.7,6.0,15.2,0.9,425.9
F318,Lobster,556,3.1,16.4,68.8,13.1,116.6,7.0,61.3
F319,Pasta,605,3.2,24.4,8.2,9.7,15.7,6.3,417.0
F320,Kiwi,503,43.4,4.0,34.8,1.2,102.8,7.5,158.8
F321,Almonds,317,10.3,32.1,58.9,12.3,49.4,1.1,369.9
F322,Cabbage,243,11.4,0.6,22.7,5.0,106.9,4.3,305.5
F323,Green Beans,385,35.5,11.4,6.1,0.5,105.2,2.4,100.0
F324,Plum,444,25.9,32.0,69.7,13.2,119.2,3.0,227.5
F325,Noodles,704,41.8,13.1,25.4,7.2,45.8,2.9,127.3
F326,Radish,292,5.4,18.5,79.1,14.3,23.4,2.0,472.2
F327,Walnuts,400,39.4,4.9,69.4,10.8,18.3,1.3,187.8
F328,Olive Oil,447,19.0,10.7,47.0,2.6,7.6,5.5,225.5
F329,Pumpkin Seeds,235,45.2,17.7,59.8,0.5,19.8,1.6,498.1
F330,Noodles,744,14.9,0.9,66.2,9.7,30.8,4.3,194.4
F331,Spinach,323,44.9,1.3,78.2,1.2,75.2,0.4,201.8
F332,Avocado,642,27.4,11.7,49.3,9.5,35.8,4.3,140.5
F333,Ricotta,455,21.3,18.1,19.6,13.1,57.0,6.7,99.6
F334,Bread,139,37.5,5.2,70.0,6.4,109.2,4.9,216.2
F335,Chia Seeds,80,15.3,36.0,35.3,6.8,77.1,5.0,290.6
F336,Black-eyed Peas,640,46.0,27.3,45.5,11.6,59.5,1.6,348.4
F337,Broccoli,195,6.2,33.9,3.0,9.0,61.9,1.8,275.2
F338,Tempeh,580,19.7,32.7,36.0,5.9,72.7,7.8,433.0
F339,Egg White,129,6.7,38.5,49.8,5.5,104.8,3.7,90.8
F340,Coconut Milk,775,44.6,24.6,18.1,3.7,66.5,0.7,49.3
F341,Pineapple,182,24.8,25.1,67.1,5.4,33.4,3.6,364.1
F342,Beef,754,34.1,21.8,61.8,3.1,46.7,6.1,213.6
F343,Millet,391,4.4,24.6,77.6,11.5,78.2,2.2,322.3
F344,Lettuce,437,34.2,8.1,11.1,14.7,12.0,7.7,345.2
F345,Soybeans,146,39.3,22.7,2.3,8.2,85.5,0.6,348.4
F346,Ghee,540,6.6,26.9,16.8,3.0,4.6,7.7,476.7
F347,Bell Pepper,300,46.4,13.1,49.3,9.9,24.6,3.4,449.3
F348,Soy Milk,229,38.3,18.1,65.6,3.4,31.5,1.8,426.1
F349,Coconut Oil,464,46.6,24.9,1.5,4.5,43.4,1.2,457.3
F350,Coconut Milk,490,16.4,16.3,68.0,6.7,41.8,3.7,229.6
F351,Oats,583,33.3,12.5,23.7,12.3,29.5,4.8,475.7
F352,Ricotta,214,3.1,19.9,56.1,1.2,97.6,3.4,319.0
F353,Apple,544,17.4,36.2,43.0,3.9,42.1,7.6,92.2
F354,Paneer,531,37.4,4.6,70.9,13.0,43.0,5.7,436.3
F355,Milk,569,13.0,9.4,31.7,7.0,118.9,0.8,454.2
F356,Cheese,650,24.5,34.7,74.0,12.1,21.3,7.1,386.4
